
============================================================
worker start: xi=0.5 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: xi
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: xi (Local Pheromone Update) (xi)

[Config 1/1] xi=0.5 on 25x25
  [xi=0.5 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 1/100: OK (time=2.3674s)
    Rep 2/100: OK (time=2.4446s)
    Rep 3/100: OK (time=1.5014s)
    Rep 4/100: OK (time=0.8870s)
    Rep 5/100: OK (time=1.1057s)
    Rep 6/100: OK (time=0.3817s)
    Rep 7/100: OK (time=5.3103s)
    Rep 8/100: OK (time=4.2358s)
    Rep 9/100: OK (time=1.9842s)
    Rep 10/100: OK (time=2.5206s)
    Rep 11/100: OK (time=1.9608s)
    Rep 12/100: OK (time=0.6681s)
    Rep 13/100: OK (time=2.2998s)
    Rep 14/100: OK (time=7.4050s)
    Rep 15/100: OK (time=0.4576s)
    Rep 16/100: OK (time=1.2804s)
    Rep 17/100: OK (time=1.6047s)
    Rep 18/100: OK (time=2.1072s)
    Rep 19/100: OK (time=1.8357s)
    Rep 20/100: OK (time=0.5079s)
    Rep 21/100: OK (time=2.1209s)
    Rep 22/100: OK (time=0.5939s)
    Rep 23/100: OK (time=1.8268s)
    Rep 24/100: OK (time=1.0944s)
    Rep 25/100: OK (time=1.3027s)
    Rep 26/100: OK (time=4.1028s)
    Rep 27/100: OK (time=4.5579s)
    Rep 28/100: OK (time=1.1369s)
    Rep 29/100: OK (time=3.2522s)
    Rep 30/100: OK (time=2.9038s)
    Rep 31/100: OK (time=1.5243s)
    Rep 32/100: OK (time=1.1379s)
    Rep 33/100: OK (time=1.9991s)
    Rep 34/100: OK (time=1.9314s)
    Rep 35/100: OK (time=6.0110s)
    Rep 36/100: OK (time=2.5845s)
    Rep 37/100: OK (time=2.1220s)
    Rep 38/100: OK (time=3.9259s)
    Rep 39/100: OK (time=0.2675s)
    Rep 40/100: OK (time=5.8475s)
    Rep 41/100: OK (time=1.6911s)
    Rep 42/100: OK (time=0.7712s)
    Rep 43/100: OK (time=1.2423s)
    Rep 44/100: OK (time=2.0502s)
    Rep 45/100: OK (time=2.8230s)
    Rep 46/100: OK (time=2.0607s)
    Rep 47/100: OK (time=0.8933s)
    Rep 48/100: OK (time=0.9571s)
    Rep 49/100: OK (time=1.8830s)
    Rep 50/100: OK (time=2.1013s)
    Rep 51/100: OK (time=1.0733s)
    Rep 52/100: OK (time=9.8372s)
    Rep 53/100: OK (time=1.4432s)
    Rep 54/100: OK (time=2.8508s)
    Rep 55/100: OK (time=1.6602s)
    Rep 56/100: OK (time=1.7295s)
    Rep 57/100: OK (time=1.1653s)
    Rep 58/100: OK (time=0.8385s)
    Rep 59/100: OK (time=2.6978s)
    Rep 60/100: OK (time=0.8533s)
    Rep 61/100: OK (time=7.0529s)
    Rep 62/100: OK (time=2.1823s)
    Rep 63/100: OK (time=0.9557s)
    Rep 64/100: OK (time=20.9895s)
    Rep 65/100: OK (time=2.2628s)
    Rep 66/100: OK (time=1.7208s)
    Rep 67/100: OK (time=0.5838s)
    Rep 68/100: OK (time=4.7967s)
    Rep 69/100: OK (time=1.9847s)
    Rep 70/100: OK (time=0.6555s)
    Rep 71/100: OK (time=2.2295s)
    Rep 72/100: OK (time=2.9830s)
    Rep 73/100: OK (time=2.1460s)
    Rep 74/100: OK (time=2.5847s)
    Rep 75/100: OK (time=4.6837s)
    Rep 76/100: OK (time=2.4821s)
    Rep 77/100: OK (time=2.1481s)
    Rep 78/100: OK (time=6.3440s)
    Rep 79/100: OK (time=3.4436s)
    Rep 80/100: OK (time=1.4091s)
    Rep 81/100: OK (time=7.8663s)
    Rep 82/100: OK (time=5.7690s)
    Rep 83/100: OK (time=1.5001s)
    Rep 84/100: OK (time=0.4351s)
    Rep 85/100: OK (time=0.5640s)
    Rep 86/100: OK (time=0.7925s)
    Rep 87/100: OK (time=1.0245s)
    Rep 88/100: OK (time=1.1806s)
    Rep 89/100: OK (time=5.5171s)
    Rep 90/100: OK (time=8.4614s)
    Rep 91/100: OK (time=1.7711s)
    Rep 92/100: OK (time=1.2047s)
    Rep 93/100: OK (time=1.5040s)
    Rep 94/100: OK (time=3.0046s)
    Rep 95/100: OK (time=1.4412s)
    Rep 96/100: OK (time=2.8969s)
    Rep 97/100: OK (time=4.7969s)
    Rep 98/100: OK (time=3.6018s)
    Rep 99/100: OK (time=6.4885s)
    Rep 100/100: OK (time=1.2048s)
