
============================================================
worker start: convThresh=1.0 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: convThresh
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Convergence Threshold (convThresh)

[Config 1/1] convThresh=1 on 25x25
  [convThresh=1 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 1/100: OK (time=4.5795s)
    Rep 2/100: OK (time=3.8291s)
    Rep 3/100: OK (time=1.5200s)
    Rep 4/100: OK (time=4.8386s)
    Rep 5/100: OK (time=2.3081s)
    Rep 6/100: OK (time=0.9764s)
    Rep 7/100: OK (time=1.1276s)
    Rep 8/100: OK (time=7.8981s)
    Rep 9/100: OK (time=0.8170s)
    Rep 10/100: OK (time=3.9820s)
    Rep 11/100: OK (time=1.6280s)
    Rep 12/100: OK (time=1.2004s)
    Rep 13/100: OK (time=1.5717s)
    Rep 14/100: OK (time=0.4069s)
    Rep 15/100: OK (time=1.1139s)
    Rep 16/100: OK (time=4.1320s)
    Rep 17/100: OK (time=8.7799s)
    Rep 18/100: OK (time=1.2845s)
    Rep 19/100: OK (time=1.2011s)
    Rep 20/100: OK (time=1.2680s)
    Rep 21/100: OK (time=2.6023s)
    Rep 22/100: OK (time=7.5578s)
    Rep 23/100: OK (time=1.5574s)
    Rep 24/100: OK (time=2.3737s)
    Rep 25/100: OK (time=0.4111s)
    Rep 26/100: OK (time=1.3990s)
    Rep 27/100: OK (time=3.1992s)
    Rep 28/100: OK (time=2.0605s)
    Rep 29/100: OK (time=16.1945s)
    Rep 30/100: OK (time=1.1338s)
    Rep 31/100: OK (time=1.0711s)
    Rep 32/100: OK (time=0.7245s)
    Rep 33/100: OK (time=1.1113s)
    Rep 34/100: OK (time=1.9099s)
    Rep 35/100: OK (time=18.8654s)
    Rep 36/100: OK (time=6.5740s)
    Rep 37/100: OK (time=2.7307s)
    Rep 38/100: OK (time=0.5374s)
    Rep 39/100: OK (time=1.4802s)
    Rep 40/100: OK (time=6.9667s)
    Rep 41/100: OK (time=4.0606s)
    Rep 42/100: OK (time=0.8064s)
    Rep 43/100: OK (time=2.8854s)
    Rep 44/100: OK (time=1.7148s)
    Rep 45/100: OK (time=0.5076s)
    Rep 46/100: OK (time=1.0635s)
    Rep 47/100: OK (time=4.2134s)
    Rep 48/100: OK (time=2.8121s)
    Rep 49/100: OK (time=0.8724s)
    Rep 50/100: OK (time=1.6946s)
    Rep 51/100: OK (time=1.4528s)
    Rep 52/100: OK (time=2.9490s)
    Rep 53/100: OK (time=2.0258s)
    Rep 54/100: OK (time=1.7922s)
    Rep 55/100: OK (time=1.4605s)
    Rep 56/100: OK (time=2.6564s)
    Rep 57/100: OK (time=0.6429s)
    Rep 58/100: OK (time=0.5761s)
    Rep 59/100: OK (time=1.7388s)
    Rep 60/100: OK (time=1.6866s)
    Rep 61/100: OK (time=3.0367s)
    Rep 62/100: OK (time=9.0271s)
    Rep 63/100: OK (time=0.4670s)
    Rep 64/100: OK (time=2.2558s)
    Rep 65/100: OK (time=1.2019s)
    Rep 66/100: OK (time=1.0652s)
    Rep 67/100: OK (time=5.2761s)
    Rep 68/100: OK (time=3.3600s)
    Rep 69/100: OK (time=2.5869s)
    Rep 70/100: OK (time=10.0225s)
    Rep 71/100: OK (time=0.5625s)
    Rep 72/100: OK (time=2.2828s)
    Rep 73/100: OK (time=2.6251s)
    Rep 74/100: OK (time=0.7800s)
    Rep 75/100: OK (time=1.1909s)
    Rep 76/100: OK (time=1.1943s)
    Rep 77/100: OK (time=1.1918s)
    Rep 78/100: OK (time=6.8032s)
    Rep 79/100: OK (time=1.0420s)
    Rep 80/100: OK (time=2.9217s)
    Rep 81/100: OK (time=1.3047s)
    Rep 82/100: OK (time=1.4089s)
    Rep 83/100: OK (time=2.7198s)
    Rep 84/100: OK (time=4.1840s)
    Rep 85/100: OK (time=1.1357s)
    Rep 86/100: OK (time=2.4463s)
    Rep 87/100: OK (time=6.4816s)
    Rep 88/100: OK (time=1.5459s)
    Rep 89/100: OK (time=1.1958s)
    Rep 90/100: OK (time=4.5783s)
    Rep 91/100: OK (time=7.9254s)
    Rep 92/100: OK (time=1.1027s)
    Rep 93/100: OK (time=2.9769s)
    Rep 94/100: OK (time=2.0695s)
    Rep 95/100: OK (time=3.5380s)
    Rep 96/100: OK (time=0.9944s)
    Rep 97/100: OK (time=3.3258s)
    Rep 98/100: OK (time=3.1879s)
    Rep 99/100: OK (time=0.4489s)
    Rep 100/100: OK (time=2.1483s)
    => success%=100.0 time_mean=2.861474 cycles_mean=112.27
  [convThresh=1 [25x25]] (2/50) inst25x25_40_50.txt 
    Rep 1/100: OK (time=21.4994s)
    Rep 2/100: OK (time=9.3584s)
    Rep 3/100: OK (time=10.6421s)
    Rep 4/100: OK (time=2.8591s)
    Rep 5/100: OK (time=1.5652s)
    Rep 6/100: OK (time=1.5191s)
    Rep 7/100: OK (time=6.2201s)
    Rep 8/100: OK (time=5.1005s)
    Rep 9/100: OK (time=4.8661s)
    Rep 10/100: OK (time=4.5717s)
    Rep 11/100: OK (time=6.9071s)
    Rep 12/100: OK (time=3.1946s)
    Rep 13/100: OK (time=4.3038s)
    Rep 14/100: OK (time=1.2520s)
    Rep 15/100: OK (time=2.8169s)
    Rep 16/100: OK (time=2.9365s)
    Rep 17/100: OK (time=3.9084s)
    Rep 18/100: OK (time=5.4988s)
    Rep 19/100: OK (time=4.7413s)
    Rep 20/100: OK (time=3.7998s)
    Rep 21/100: OK (time=6.5118s)
    Rep 22/100: OK (time=13.5888s)
    Rep 23/100: OK (time=4.8548s)
    Rep 24/100: OK (time=3.1588s)
    Rep 25/100: OK (time=6.6198s)
    Rep 26/100: OK (time=10.3051s)
    Rep 27/100: OK (time=6.3600s)
    Rep 28/100: OK (time=6.3320s)
    Rep 29/100: OK (time=4.8113s)
    Rep 30/100: OK (time=5.4728s)
    Rep 31/100: OK (time=7.0492s)
    Rep 32/100: OK (time=9.2916s)
    Rep 33/100: OK (time=5.8738s)
    Rep 34/100: OK (time=10.1900s)
    Rep 35/100: OK (time=14.6010s)
    Rep 36/100: OK (time=7.2572s)
    Rep 37/100: OK (time=5.8753s)
    Rep 38/100: OK (time=4.6318s)
    Rep 39/100: OK (time=2.8957s)
    Rep 40/100: OK (time=4.1960s)
    Rep 41/100: OK (time=7.6661s)
    Rep 42/100: OK (time=7.4039s)
    Rep 43/100: OK (time=2.9542s)
    Rep 44/100: OK (time=1.3523s)
    Rep 45/100: OK (time=7.0038s)
    Rep 46/100: OK (time=19.0925s)
    Rep 47/100: OK (time=3.5643s)
    Rep 48/100: OK (time=5.1706s)
    Rep 49/100: OK (time=5.5332s)
    Rep 50/100: OK (time=7.1344s)
    Rep 51/100: OK (time=2.8623s)
    Rep 52/100: OK (time=1.5325s)
    Rep 53/100: OK (time=7.7703s)
    Rep 54/100: OK (time=12.1897s)
    Rep 55/100: OK (time=2.3869s)
    Rep 56/100: OK (time=9.5444s)
    Rep 57/100: OK (time=2.6620s)
    Rep 58/100: OK (time=3.8987s)
    Rep 59/100: OK (time=3.4673s)
    Rep 60/100: OK (time=1.3298s)
    Rep 61/100: OK (time=0.5589s)
    Rep 62/100: OK (time=7.7350s)
    Rep 63/100: OK (time=8.1056s)
    Rep 64/100: OK (time=2.1933s)
    Rep 65/100: OK (time=13.6984s)
    Rep 66/100: OK (time=5.4744s)
    Rep 67/100: OK (time=11.8076s)
    Rep 68/100: OK (time=4.6944s)
    Rep 69/100: OK (time=4.4521s)
    Rep 70/100: OK (time=22.2504s)
    Rep 71/100: OK (time=2.3786s)
    Rep 72/100: OK (time=8.6379s)
    Rep 73/100: OK (time=4.3937s)
    Rep 74/100: OK (time=12.6167s)
    Rep 75/100: OK (time=4.6193s)
    Rep 76/100: OK (time=9.0519s)
    Rep 77/100: OK (time=10.0153s)
    Rep 78/100: OK (time=3.5666s)
    Rep 79/100: OK (time=6.3587s)
    Rep 80/100: OK (time=3.9193s)
    Rep 81/100: OK (time=6.8071s)
    Rep 82/100: OK (time=2.1568s)
    Rep 83/100: OK (time=14.1214s)
    Rep 84/100: OK (time=3.0250s)
    Rep 85/100: OK (time=7.9215s)
    Rep 86/100: OK (time=11.3360s)
    Rep 87/100: OK (time=9.3640s)
    Rep 88/100: OK (time=6.6657s)
    Rep 89/100: OK (time=15.8979s)
    Rep 90/100: OK (time=0.9403s)
    Rep 91/100: OK (time=6.6843s)
    Rep 92/100: OK (time=2.0580s)
    Rep 93/100: OK (time=0.9153s)
    Rep 94/100: OK (time=6.6340s)
    Rep 95/100: OK (time=9.6375s)
    Rep 96/100: OK (time=3.7071s)
    Rep 97/100: OK (time=5.4815s)
    Rep 98/100: OK (time=3.0673s)
    Rep 99/100: OK (time=7.8745s)
    Rep 100/100: OK (time=5.6684s)
    => success%=100.0 time_mean=6.384481 cycles_mean=239.16
  [convThresh=1 [25x25]] (3/50) inst25x25_40_62.txt 
    Rep 1/100: OK (time=6.3853s)
    Rep 2/100: OK (time=1.8522s)
    Rep 3/100: OK (time=6.1559s)
    Rep 4/100: OK (time=0.9194s)
    Rep 5/100: OK (time=0.9792s)
    Rep 6/100: OK (time=7.4732s)
    Rep 7/100: OK (time=10.0990s)
    Rep 8/100: OK (time=6.4115s)
    Rep 9/100: OK (time=5.3830s)
    Rep 10/100: OK (time=7.0218s)
    Rep 11/100: OK (time=2.6441s)
    Rep 12/100: OK (time=5.9643s)
    Rep 13/100: OK (time=2.3886s)
    Rep 14/100: OK (time=23.5345s)
    Rep 15/100: OK (time=17.4415s)
    Rep 16/100: OK (time=11.3572s)
    Rep 17/100: OK (time=11.3721s)
    Rep 18/100: OK (time=18.1162s)
    Rep 19/100: OK (time=6.8663s)
    Rep 20/100: OK (time=18.9560s)
    Rep 21/100: OK (time=17.4785s)
    Rep 22/100: OK (time=19.1243s)
    Rep 23/100: OK (time=11.3428s)
    Rep 24/100: OK (time=15.3909s)
    Rep 25/100: OK (time=2.7554s)
    Rep 26/100: OK (time=3.8211s)
    Rep 27/100: OK (time=6.1358s)
    Rep 28/100: OK (time=0.6701s)
    Rep 29/100: OK (time=5.5406s)
    Rep 30/100: OK (time=8.7559s)
    Rep 31/100: OK (time=7.5180s)
    Rep 32/100: OK (time=1.3871s)
    Rep 33/100: OK (time=4.1701s)
    Rep 34/100: OK (time=3.1682s)
    Rep 35/100: OK (time=14.5883s)
    Rep 36/100: OK (time=5.6428s)
    Rep 37/100: OK (time=6.0099s)
    Rep 38/100: OK (time=2.4385s)
    Rep 39/100: OK (time=2.3474s)
    Rep 40/100: OK (time=6.4416s)
    Rep 41/100: OK (time=3.9834s)
    Rep 42/100: OK (time=6.4315s)
    Rep 43/100: OK (time=8.9713s)
    Rep 44/100: OK (time=2.9711s)
    Rep 45/100: OK (time=0.8491s)
    Rep 46/100: OK (time=7.7460s)
    Rep 47/100: OK (time=0.9590s)
    Rep 48/100: OK (time=4.5381s)
    Rep 49/100: OK (time=5.3125s)
    Rep 50/100: OK (time=0.9674s)
    Rep 51/100: OK (time=9.4285s)
    Rep 52/100: OK (time=13.7207s)
    Rep 53/100: OK (time=5.3395s)
    Rep 54/100: OK (time=6.1957s)
    Rep 55/100: OK (time=7.3153s)
    Rep 56/100: OK (time=15.0596s)
    Rep 57/100: OK (time=5.8985s)
    Rep 58/100: OK (time=3.3098s)
    Rep 59/100: OK (time=11.1951s)
    Rep 60/100: OK (time=2.2816s)
    Rep 61/100: OK (time=8.3633s)
    Rep 62/100: OK (time=2.1570s)
    Rep 63/100: OK (time=1.5468s)
    Rep 64/100: OK (time=2.3618s)
    Rep 65/100: OK (time=7.6144s)
    Rep 66/100: OK (time=7.2608s)
    Rep 67/100: OK (time=5.9157s)
    Rep 68/100: OK (time=3.1403s)
    Rep 69/100: OK (time=5.6451s)
    Rep 70/100: OK (time=5.2551s)
    Rep 71/100: OK (time=3.8113s)
    Rep 72/100: OK (time=1.8008s)
    Rep 73/100: OK (time=4.8910s)
    Rep 74/100: OK (time=12.9712s)
    Rep 75/100: OK (time=5.9938s)
    Rep 76/100: OK (time=10.2920s)
    Rep 77/100: OK (time=19.5319s)
    Rep 78/100: OK (time=9.8859s)
    Rep 79/100: OK (time=1.2831s)
    Rep 80/100: OK (time=6.5761s)
    Rep 81/100: OK (time=14.8494s)
    Rep 82/100: OK (time=2.7476s)
    Rep 83/100: OK (time=10.4723s)
    Rep 84/100: OK (time=12.9897s)
    Rep 85/100: OK (time=3.4588s)
    Rep 86/100: OK (time=5.9550s)
    Rep 87/100: OK (time=0.4258s)
    Rep 88/100: OK (time=1.3922s)
    Rep 89/100: OK (time=2.5455s)
    Rep 90/100: OK (time=4.0021s)
    Rep 91/100: OK (time=2.0602s)
    Rep 92/100: OK (time=35.3465s)
    Rep 93/100: OK (time=1.2813s)
    Rep 94/100: OK (time=12.7791s)
    Rep 95/100: OK (time=27.3370s)
    Rep 96/100: OK (time=6.3512s)
    Rep 97/100: OK (time=3.1006s)
    Rep 98/100: OK (time=10.4054s)
    Rep 99/100: OK (time=3.0399s)
